Number of parameters in output net: 72
Number of parameters in hypernet: 646
Number of training points: 1280
Number of test points: 320
Epoch 0100 | Time 0.055 (0.052) | NFE-F 20.5 | NFE-B 21.2 | Test Acc 0.6906 | Train Acc 0.7141
Epoch 0200 | Time 0.060 (0.061) | NFE-F 26.0 | NFE-B 26.7 | Test Acc 0.7438 | Train Acc 0.7680
Epoch 0300 | Time 0.058 (0.062) | NFE-F 26.1 | NFE-B 27.0 | Test Acc 0.7438 | Train Acc 0.7625
Epoch 0400 | Time 0.061 (0.064) | NFE-F 26.0 | NFE-B 27.0 | Test Acc 0.7656 | Train Acc 0.7766
Epoch 0500 | Time 0.064 (0.062) | NFE-F 26.0 | NFE-B 27.0 | Test Acc 0.7875 | Train Acc 0.7883
Epoch 0600 | Time 0.060 (0.062) | NFE-F 26.0 | NFE-B 27.0 | Test Acc 0.7812 | Train Acc 0.7891
Epoch 0700 | Time 0.061 (0.062) | NFE-F 27.4 | NFE-B 27.0 | Test Acc 0.7906 | Train Acc 0.7906
Epoch 0800 | Time 0.062 (0.064) | NFE-F 31.0 | NFE-B 27.1 | Test Acc 0.7844 | Train Acc 0.7930
Epoch 0900 | Time 0.063 (0.065) | NFE-F 31.7 | NFE-B 27.6 | Test Acc 0.7781 | Train Acc 0.7937
Epoch 1000 | Time 0.062 (0.067) | NFE-F 32.0 | NFE-B 28.5 | Test Acc 0.7781 | Train Acc 0.7945
Epoch 1100 | Time 0.064 (0.072) | NFE-F 32.0 | NFE-B 31.6 | Test Acc 0.7937 | Train Acc 0.7992
Epoch 1200 | Time 0.062 (0.074) | NFE-F 32.0 | NFE-B 33.3 | Test Acc 0.7875 | Train Acc 0.8039
Epoch 1300 | Time 0.088 (0.078) | NFE-F 32.0 | NFE-B 35.9 | Test Acc 0.8031 | Train Acc 0.7984
Epoch 1400 | Time 0.088 (0.095) | NFE-F 31.6 | NFE-B 48.5 | Test Acc 0.8094 | Train Acc 0.7945
Epoch 1500 | Time 0.115 (0.109) | NFE-F 33.6 | NFE-B 57.8 | Test Acc 0.7906 | Train Acc 0.8016
Epoch 1600 | Time 0.115 (0.123) | NFE-F 36.1 | NFE-B 66.8 | Test Acc 0.8094 | Train Acc 0.8234
Epoch 1700 | Time 0.123 (0.123) | NFE-F 33.8 | NFE-B 67.2 | Test Acc 0.8031 | Train Acc 0.8344
Epoch 1800 | Time 0.116 (0.122) | NFE-F 34.1 | NFE-B 66.0 | Test Acc 0.8125 | Train Acc 0.8422
Epoch 1900 | Time 0.120 (0.122) | NFE-F 34.6 | NFE-B 66.5 | Test Acc 0.8375 | Train Acc 0.8430
Epoch 2000 | Time 0.124 (0.122) | NFE-F 35.2 | NFE-B 65.7 | Test Acc 0.8344 | Train Acc 0.8492
Epoch 2100 | Time 0.099 (0.123) | NFE-F 35.9 | NFE-B 66.5 | Test Acc 0.8375 | Train Acc 0.8570
Epoch 2200 | Time 0.135 (0.123) | NFE-F 36.2 | NFE-B 66.1 | Test Acc 0.8375 | Train Acc 0.8594
Epoch 2300 | Time 0.133 (0.125) | NFE-F 36.7 | NFE-B 67.0 | Test Acc 0.8375 | Train Acc 0.8578
Converged at epoch: 2300
Number of parameters in output net: 72
